short_name,overall,potential, value_eur , wage_eur ,age,height_cm,weight_kg,club_name,league_name,club_position,attack_position,nationality_name,preferred_foot,international_reputation,body_type,pace,shooting,passing,dribbling,defending,physic
L. Messi,93,93,78000000,320000,34,170,72,Paris Saint-Germain,French Ligue 1,RW,Attack,Argentina,Left,5,Unique,85,92,91,95,34,65
Cristiano Ronaldo,91,91,45000000,270000,36,187,83,Manchester United,English Premier League,ST,Attack,Portugal,Right,5,Unique,87,94,80,88,34,75
Neymar Jr,91,91,129000000,270000,29,175,68,Paris Saint-Germain,French Ligue 1,LW,Attack,Brazil,Right,5,Unique,91,83,86,94,37,63
K. De Bruyne,91,91,125500000,350000,30,181,70,Manchester City,English Premier League,RCM,Midfield,Belgium,Right,4,Unique,76,86,93,88,64,78
J. Oblak,91,93,112000000,130000,28,188,87,Atlético de Madrid,Spain Primera Division,GK,GoalKeeper,Slovenia,Right,5,Unique,,,,,,
K. Mbappé,91,95,194000000,230000,22,182,73,Paris Saint-Germain,French Ligue 1,ST,Attack,France,Right,4,Unique,97,88,80,92,36,77
M. ter Stegen,90,92,99000000,250000,29,187,85,FC Barcelona,Spain Primera Division,GK,GoalKeeper,Germany,Right,4,Unique,,,,,,
H. Kane,90,90,129500000,240000,27,188,89,Tottenham Hotspur,English Premier League,ST,Attack,England,Right,4,Unique,70,91,83,83,47,83
N. Kanté,90,90,100000000,230000,30,168,70,Chelsea,English Premier League,RCM,Midfield,France,Right,4,Unique,78,66,75,82,87,83
K. Benzema,89,89,66000000,350000,33,185,81,Real Madrid CF,Spain Primera Division,CF,Attack,France,Right,4,Normal (170-185),76,86,81,87,39,77
T. Courtois,89,91,85500000,250000,29,199,96,Real Madrid CF,Spain Primera Division,GK,GoalKeeper,Belgium,Left,4,Unique,,,,,,
H. Son,89,89,104000000,220000,28,183,78,Tottenham Hotspur,English Premier League,LW,Attack,Korea Republic,Right,4,Unique,88,87,82,86,43,69
Casemiro,89,89,88000000,310000,29,185,84,Real Madrid CF,Spain Primera Division,CDM,Midfield,Brazil,Right,3,Unique,65,73,76,73,86,90
V. van Dijk,89,89,86000000,230000,29,193,92,Liverpool,English Premier League,LCB,Defense,Netherlands,Right,4,Unique,78,60,71,72,91,84
S. Mané,89,89,101000000,270000,29,175,69,Liverpool,English Premier League,LW,Attack,Senegal,Right,4,Unique,91,83,80,89,44,77
M. Salah,89,89,101000000,270000,29,175,71,Liverpool,English Premier League,RW,Attack,Egypt,Left,4,Unique,90,87,81,90,45,75
Ederson,89,91,94000000,200000,27,188,86,Manchester City,English Premier League,GK,GoalKeeper,Brazil,Left,3,Unique,,,,,,
Alisson,89,90,82000000,190000,28,191,91,Liverpool,English Premier League,GK,GoalKeeper,Brazil,Right,3,Unique,,,,,,
G. Donnarumma,89,93,119500000,110000,22,196,90,Paris Saint-Germain,French Ligue 1,GK,GoalKeeper,Italy,Right,3,Unique,,,,,,
Sergio Ramos,88,88,24000000,115000,35,184,82,Paris Saint-Germain,French Ligue 1,LCB,Defense,Spain,Right,4,Unique,70,70,76,74,88,84
L. Suárez,88,88,44500000,135000,34,182,83,Atlético de Madrid,Spain Primera Division,RS,Attack,Uruguay,Right,5,Unique,72,90,82,84,47,83
T. Kroos,88,88,75000000,310000,31,183,76,Real Madrid CF,Spain Primera Division,LCM,Midfield,Germany,Right,4,Normal (170-185),53,81,91,81,71,68
